116 36
180 53
163 46
24 6
117 29
15 6
24 6
123 33
52 17
183 49
120 34
81 26
118 32
176 49
80 27
122 32
46 16
0 7
0 1
118 29
153 45
18 9
33 12
161 41
127 39
76 21
179 52
16 5
86 22
18 12
46 17
178 52
76 23
82 25
116 31
134 37
183 50
163 47
171 42
71 21
14 9
15 12
77 20
138 35
35 12
110 31
133 33
125 35
81 26
92 30
150 40
124 38
38 12
144 44
25 14
6 10
145 40
53 20
14 12
158 45
26 8
131 34
105 35
144 42
111 27
93 27
187 54
176 52
155 44
79 22
25 9
40 11
183 50
63 22
89 26
89 22
7 4
90 28
114 35
0 3
64 21
122 32
135 37
95 27
33 16
167 47
177 46
155 41
20 14
148 37
95 27
165 45
5 9
169 46
79 22
76 28
144 43
145 42
121 31
95 29
22 13
88 31
125 38
46 17
174 51
8 2
99 24
20 14
13 4
130 33
65 21
20 11
52 15
176 53
154 46
110 28
76 19
38 18
35 13
85 30
15 9
64 22
71 21
17 7
83 20
40 16
148 41
80 25
148 41
66 24
141 38
183 51
23 8
146 44
157 45
20 5
28 16
10 4
157 40
48 19
63 15
87 26
60 22
108 34
100 32
163 44
4 10
54 15
53 16
114 29
4 7
108 35
4 9
96 25
181 45
97 31
160 45
91 30
32 8
105 26
124 35
51 16
181 51
140 43
16 10
68 22
39 16
167 46
77 25
145 41
17 13
129 35
135 34
12 9
141 36
50 14
43 18
151 42
73 22
139 42
68 23
159 44
63 22
131 38
5 2
81 21
75 22
66 21
163 44
175 46
98 31
71 23
97 33
117 37
87 23
13 4
51 19
19 4
20 13
23 6
